post_date,base_trading_day,title,sentiment,sentiment_score,sentiment_source,url,prev_close,base_close,base_day_intraday_%,T+1_%,T+5_%,T+10_%,T+20_%,max_gain_20d_%,max_draw_20d_%
2025-04-03,2025-04-07,"假日第一天 早安安",bearish,-1,input,https://www.cmoney.tw/forum/article/170265524,2660,2395,0,-9.81,-6.89,-12.11,-5.01,-0.63,-18.79
2025-04-02,2025-04-02,"春假前的最後一天上班跟盯盤",neutral,0,input,https://www.cmoney.tw/forum/article/170235111,2665,2660,-0.75,-9.96,-20.11,-17.11,-14.47,-9.96,-26.88
2025-04-01,2025-04-01,"歡迎來到我每天的（心靈毒雞湯）",bearish,-1,input,https://www.cmoney.tw/forum/article/170202264,2740,2665,-4.99,-0.19,-19.89,-16.89,-13.7,2.25,-27.02
2025-03-31,2025-03-31,"這是今天的第二篇文",neutral,0,input,https://www.cmoney.tw/forum/article/170174358,2950,2740,-4.36,-2.74,-29.01,-20.8,-22.45,2.37,-29.01
2025-03-31,2025-03-31,"您手上是（現股）",bearish,-1,input,https://www.cmoney.tw/forum/article/170157501,2950,2740,-4.36,-2.74,-29.01,-20.8,-22.45,2.37,-29.01
2025-03-29,2025-03-31,"希望 沒有打擾到大家",neutral,0,input,https://www.cmoney.tw/forum/article/170113868,2950,2740,-4.36,-2.74,-29.01,-20.8,-22.45,2.37,-29.01
2025-03-28,2025-03-28,"萬綠叢中一點🌹",neutral,0,input,https://www.cmoney.tw/forum/article/170063116,2850,2950,3.51,-7.12,-26.78,-20,-26.27,-1.02,-34.07
2025-03-27,2025-03-27,"還在辛苦上班 或在忙碌 還來不及 對今天 大盤崩跌有太具體暸解原因的您們",bearish,-1,input,https://www.cmoney.tw/forum/article/170022191,2890,2850,0.18,3.51,-15.96,-21.75,-23.16,4.39,-31.75
2025-03-26,2025-03-26,"變幻莫測的天氣",neutral,0,input,https://www.cmoney.tw/forum/article/169986835,2845,2890,-0.17,-1.38,-7.96,-26.47,-25.26,2.94,-32.7
2025-03-25,2025-03-25,"這是今天的第二篇文",neutral,0,input,https://www.cmoney.tw/forum/article/169957909,2785,2845,-0.87,1.58,-6.33,-24.96,-25.83,4.57,-31.63
2025-03-25,2025-03-25,"本來覺得 會是（重覆 ）（膠著）的盤",neutral,0,input,https://www.cmoney.tw/forum/article/169942661,2785,2845,-0.87,1.58,-6.33,-24.96,-25.83,4.57,-31.63
2025-03-24,2025-03-24,"我對大盤的看法",bullish,1,input,https://www.cmoney.tw/forum/article/169904895,2830,2785,-3.13,2.15,-1.62,-30.16,-25.13,6.82,-30.16
2025-03-20,2025-03-20,"勿太看好或追高",bullish,1,input,https://www.cmoney.tw/forum/article/169792393,2840,2830,-2.25,0,0.71,-15.37,-25.62,5.12,-31.27
2025-03-19,2025-03-19,"輝達 GTC 黃仁勳",bearish,-1,input,https://www.cmoney.tw/forum/article/169759573,2885,2840,-1.56,-0.35,1.76,-6.34,-22.36,4.75,-31.51
2025-03-18,2025-03-18,"剛剛看了 今早 在此版的發文",bearish,-1,input,https://www.cmoney.tw/forum/article/169724890,2765,2885,2.85,-1.56,-1.39,-7.63,-23.22,3.12,-32.58
2025-03-17,2025-03-17,"越是混沌不明的",neutral,0,input,https://www.cmoney.tw/forum/article/169699526,2795,2765,-2.64,4.34,0.72,-0.9,-21.52,7.59,-29.66
2025-03-17,2025-03-17,"我人在醫院健檢",neutral,0,input,https://www.cmoney.tw/forum/article/169689688,2795,2765,-2.64,4.34,0.72,-0.9,-21.52,7.59,-29.66
2025-03-15,2025-03-17,"昨天因家中有事",neutral,0,input,https://www.cmoney.tw/forum/article/169646566,2795,2765,-2.64,4.34,0.72,-0.9,-21.52,7.59,-29.66
2025-03-13,2025-03-13,"面對 今天台北股市",bearish,-1,input,https://www.cmoney.tw/forum/article/169581399,2855,2845,-2.57,-1.76,-0.53,0.18,-21.62,4.57,-31.63
2025-03-12,2025-03-12,"1)沒有量的盤",bearish,-1,input,https://www.cmoney.tw/forum/article/169542501,2920,2855,-2.56,-0.35,-0.53,1.23,-25.57,4.2,-31.87
2025-03-11,2025-03-11,"這是今天第二篇文",bearish,-1,input,https://www.cmoney.tw/forum/article/169500935,2855,2920,6.57,-2.23,-1.2,-2.57,-26.88,2.4,-33.39
